"school_name";"title";"id";"tage";"zeit";"ort";"kursleiter";"zeitraum";"preise";"status"
"BEUTH";"Pausenexpress";"705";"Di";"14:00-14:15";"PE";"15.09.-17.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"707";"Di";"09:00-09:15";"PE";"22.09.-24.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"708";"Di";"11:00-11:15";"PE";"22.09.-24.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"709";"Di";"11:30-11:45";"PE";"22.09.-24.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"710";"Di";"12:00-12:15";"PE";"22.09.-24.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"711";"Di";"12:30-12:45";"PE";"22.09.-24.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"712";"Di";"13:00-13:15";"PE";"22.09.-24.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"713";"Mi";"14:00-14:15";"PE";"23.09.-25.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"714";"Mi";"10:30-10:45";"PE";"23.09.-25.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"715";"Mi";"11:00-11:15";"PE";"23.09.-25.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"716";"Mi";"11:30-11:45";"PE";"23.09.-25.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"717";"Mi";"12:00-12:15";"PE";"23.09.-25.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"718";"Mi";"12:30-12:45";"PE";"23.09.-25.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"719";"Mi";"13:00-13:15";"PE";"23.09.-25.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"720";"Mi";"13:30-13:45";"PE";"23.09.-25.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"723";"Do";"11:00-11:15";"PE";"24.09.-26.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"724";"Do";"12:00-12:15";"PE";"24.09.-26.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"725";"Do";"11:30-11:45";"PE";"24.09.-26.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"726";"Do";"12:30-12:45";"PE";"24.09.-26.11.";"['entgeltfrei']";"abgelaufen"
